"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"Uomini";"Donne"
"Privato (compreso l'avvio di un'attivita' autonoma/in conto proprio)";"62,0";"65,6";"57,3"
"Disponibilita' a lavorare per tipo di relazione contrattuale: decisamente sì (%)";"";"";""
"ORARIO/MODALITA' LAVORATIVA";"";"";""
"Tempo pieno";"88,4";"89,8";"86,7"
"Part-time";"24,7";"19,2";"32,0"
"Telelavoro o smart-working";"52,8";"52,5";"53,1"
"CONTRATTO";"";"";""
"A tutele crescenti";"90,5";"90,5";"90,6"
"A tempo determinato";"33,1";"29,5";"38,0"
"Stage";"11,1";"8,9";"14,0"
"Apprendistato";"13,5";"11,5";"16,2"
"Somministrazione di lavoro (ex interinale)";"8,0";"7,2";"9,1"
"Autonomo/in conto proprio";"19,3";"20,4";"17,8"
"Disponibilita' a lavorare nelle seguenti aree geografiche: decisamente sì (%)";"";"";""
"Provincia di residenza";"64,8";"64,8";"64,8"
"Provincia degli studi";"67,9";"68,1";"67,5"
"Regione degli studi";"58,8";"58,1";"59,8"
"Italia settentrionale";"51,5";"52,9";"49,6"
"Italia centrale";"34,6";"34,2";"35,1"
"Italia meridionale";"23,5";"23,8";"23,1"
"Stato europeo";"48,5";"51,0";"45,2"
"Stato extraeuropeo";"29,6";"32,6";"25,7"
"Disponibilita' ad effettuare trasferte di lavoro (%)";"";"";""
"Sì, anche con trasferimenti di residenza";"43,6";"45,7";"40,9"
"Sì, anche frequenti (senza cambi di residenza)";"31,8";"32,0";"31,5"
"Sì, ma solo in numero limitato";"20,9";"19,1";"23,3"
"Non disponibili a trasferte";"2,2";"1,8";"2,8"
