ANNO;AteneoCOD;AteneoNOME;AteneoREGIONE;AteneoAREAGEO;CorsoTIPO;COD_FoET2013;DESC_FoET2013;Genere;LAU
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Laurea;04;Business, administration and law;M;230
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Laurea;05;Natural sciences, mathematics and statistics;F;166
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Laurea;05;Natural sciences, mathematics and statistics;M;157
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Laurea;06;Information and Communication Technologies (ICTs);F;19
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Laurea;06;Information and Communication Technologies (ICTs);M;81
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Laurea;07;Engineering, manufacturing and construction;F;192
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Laurea;07;Engineering, manufacturing and construction;M;411
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Laurea;09;Health and welfare;F;476
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Laurea;09;Health and welfare;M;118
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Laurea;10;Services;F;55
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Laurea;10;Services;M;53
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Laurea Magistrale;01;Education;F;56
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Laurea Magistrale;01;Education;M;2
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Laurea Magistrale;02;Arts and humanities;F;215
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Laurea Magistrale;02;Arts and humanities;M;101
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Laurea Magistrale;03;Social sciences, journalism and information;F;193
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Laurea Magistrale;03;Social sciences, journalism and information;M;116
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Laurea Magistrale;04;Business, administration and law;F;103
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Laurea Magistrale;04;Business, administration and law;M;92
