ANNO;AteneoCOD;AteneoNOME;AteneoREGIONE;AteneoAREAGEO;CorsoTIPO;COD_FoET2013;DESC_FoET2013;Genere;ISC
2024/2025;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Laurea;02;Arts and humanities;M;405
2024/2025;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Laurea;02;Arts and humanities;F;516
2024/2025;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Laurea;05;Natural sciences, mathematics and statistics;M;336
2024/2025;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Laurea Magistrale;02;Arts and humanities;M;78
2024/2025;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Laurea Magistrale;07;Engineering, manufacturing and construction;F;5182
2024/2025;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Laurea Magistrale;02;Arts and humanities;F;118
2024/2025;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea Magistrale;06;Information and Communication Technologies (ICTs);F;15
2024/2025;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea Magistrale;04;Business, administration and law;F;163
2024/2025;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea Magistrale Ciclo Unico;09;Health and welfare;F;1587
2024/2025;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea;09;Health and welfare;F;1103
2024/2025;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea;03;Social sciences, journalism and information;M;126
2024/2025;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea Magistrale;10;Services;F;21
2024/2025;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea;09;Health and welfare;M;492
2024/2025;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea;03;Social sciences, journalism and information;F;147
2024/2025;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea;06;Information and Communication Technologies (ICTs);M;715
2024/2025;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea Magistrale;05;Natural sciences, mathematics and statistics;M;273
2024/2025;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea;05;Natural sciences, mathematics and statistics;M;1049
2024/2025;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea Magistrale Ciclo Unico;04;Business, administration and law;M;242
2024/2025;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea Magistrale;03;Social sciences, journalism and information;M;70
2024/2025;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea Magistrale;02;Arts and humanities;F;189
2024/2025;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea Magistrale;10;Services;M;7
2024/2025;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea Magistrale;09;Health and welfare;F;98
2024/2025;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea Magistrale;06;Information and Communication Technologies (ICTs);M;59
2024/2025;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea;04;Business, administration and law;F;1009
2024/2025;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea;10;Services;F;166
